bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
7,2,2016,4,0,70000,0,2016,15,6,0,6.75
2,2,2013,4,4,70000,1,2013,19,5,0,3.3
8,2,2018,4,4,46429,0,2018,17,7,0,8.75
2,1,2017,4,4,17624,1,2017,21,5,0,8.69
8,2,2012,1,4,100000,1,2012,20,5,0,4.25
8,1,2019,4,4,30000,1,2019,17,5,0,10.7
7,2,2018,4,4,49690,1,2018,15,5,0,10.25
7,1,2016,1,0,110000,1,2016,16,6,0,10.0
8,1,2009,4,4,50000,1,2009,16,5,0,3.75
8,1,2009,4,4,50000,1,2009,16,5,0,3.75
7,1,2018,4,4,55702,0,2018,14,6,0,8.44
2,1,2016,1,5,45046,1,2016,21,6,0,7.64
2,2,2014,4,4,53000,1,2014,18,5,0,4.2
2,1,2016,1,0,94695,1,2016,27,5,0,6.84
2,1,2019,4,4,22162,1,2019,21,5,0,8.03
2,2,2010,4,0,70000,1,2010,17,5,0,3.2
8,1,2017,1,0,115331,1,2017,26,6,0,8.04
8,2,2013,1,4,70000,0,2013,10,5,0,14.0
2,2,2016,4,0,42233,1,2016,22,5,0,5.48
2,1,2019,4,4,20941,1,2019,18,5,0,6.19
7,2,2018,1,0,50000,1,2018,24,5,0,10.0
7,1,2018,4,0,46602,1,2018,17,5,0,8.65
7,2,2014,1,4,50000,0,2014,11,5,0,10.0
2,2,2014,1,4,104000,1,2014,25,5,0,5.35
7,1,2018,1,0,90000,1,2018,23,5,0,9.75
2,1,2017,4,4,50035,1,2017,21,5,0,6.99
7,1,2021,4,4,80000,1,2021,17,6,0,11.5
2,2,2015,4,4,90000,1,2015,18,5,0,6.25
8,4,2011,1,0,90000,0,2011,14,5,0,10.0
8,1,2011,1,4,120000,1,2011,21,6,0,6.0
8,1,2015,4,5,25170,1,2015,22,5,0,6.75
8,1,2021,4,5,25022,1,2021,20,5,0,8.93
2,2,2012,1,4,100000,1,2012,22,5,0,4.2
8,1,2020,4,0,26367,1,2020,20,5,0,9.41
8,2,2015,4,0,76567,0,2015,14,6,0,6.3
4,2,2013,1,0,120000,1,2013,12,5,0,12.75
2,2,2015,4,5,36459,0,2015,18,4,0,5.25
7,1,2016,1,4,93725,1,2016,23,5,0,7.5
8,2,2016,4,0,115599,0,2016,19,4,0,6.32
8,1,2015,4,0,43469,1,2015,22,5,0,6.45
8,4,2005,4,4,70000,1,2005,13,5,0,5.0
7,2,2019,1,0,77000,0,2019,13,8,0,67.95
7,1,2018,1,0,100000,1,2018,24,5,0,8.5
8,1,2008,4,4,72000,1,2008,14,5,0,2.99
8,1,2013,1,0,77000,0,2013,16,8,0,20.95
7,1,2013,1,0,87101,0,2013,12,8,0,28.0
2,2,2021,4,0,40771,1,2021,18,6,0,9.99
2,1,2018,4,0,28000,1,2018,18,5,0,8.25
2,3,2008,4,0,40000,1,2008,18,5,0,2.5
7,1,2020,4,4,26000,0,2020,18,7,0,12.95
2,1,2012,4,4,76032,1,2012,18,5,0,3.29
8,1,2018,4,4,113780,1,2018,21,5,0,6.66
8,1,2019,1,5,24000,0,2019,20,6,0,22.9
7,2,2020,1,4,65812,1,2020,23,6,0,10.26
7,1,2022,4,4,10000,0,2022,17,6,0,17.0
2,1,2016,4,0,39959,1,2016,21,5,0,6.81
7,1,2022,4,4,10000,0,2022,14,6,0,16.9
2,3,2016,4,4,65484,1,2016,24,5,0,3.18
2,1,2017,4,4,49174,1,2017,21,5,0,6.88
7,1,2022,4,4,20000,1,2022,20,6,0,13.0
2,1,2009,4,4,50000,1,2009,20,5,0,2.65
8,2,2018,4,4,40000,0,2018,22,5,0,6.45
7,1,2022,4,4,30000,0,2022,14,6,0,20.0
1,3,2007,4,4,50000,0,2007,10,6,0,9.0
2,1,2020,4,4,80000,1,2020,21,5,0,6.2
7,1,2022,4,4,20000,1,2022,15,5,0,14.7
8,1,2010,0,0,70000,1,2010,13,5,0,2.2
8,1,2014,1,0,90000,0,2014,17,8,0,14.75
2,1,2020,4,4,40000,1,2020,21,5,0,4.15
2,1,2016,4,0,63797,1,2016,18,5,0,6.1
2,2,2018,4,0,60216,1,2018,18,5,0,5.6
2,2,2015,4,4,10000,0,2015,23,5,0,4.25
2,1,2016,4,0,38153,1,2016,21,5,0,6.86
2,1,2015,4,4,76485,1,2015,22,5,0,5.17
2,2,2015,4,4,40000,1,2015,20,5,0,3.85
2,1,2016,4,4,40623,1,2016,21,5,0,6.75
8,2,2018,1,4,18000,0,2018,19,9,0,33.0
2,1,2014,4,4,88051,1,2014,22,5,0,4.99
2,1,2022,4,4,16522,1,2022,22,5,0,7.74
7,2,2019,1,4,70000,1,2019,16,6,0,14.75
