it,ft,bt,km,transmission,ownerNo,owner,model,modelYear,price,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Seats,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,Ground Clearance Unladen,City
0,Diesel,Sedan,"1,00,000",Automatic,3,3rd Owner,BMW 5 Series,2011,₹ 22 Lakh,1995 cc,Diesel,Third Party insurance,100000 Kms,Third Owner,KA01,2011,5 Seats,Automatic,2011,18.48 kmpl,1995 CC,"177 @ 4,000 (PS@rpm)",35.7 ,5,White,In-Line Engine,1995,"35.7 @ 1,750-3,000 (kgm@rpm)",4.0,4.0,,CRDi,84.0 x 90.0 mm,16.0:1,No,Yes,4841mm,1846mm,1468mm,2888mm,1558mm,1581mm,1600kg,2160kg,6 Speed,,5,Power,,Ventilated discs,Ventilated discs,226km/hr,8.3 seconds,"Tubeless,Radial",4,520 litres,17,17,,Bangalore
0,Petrol,Hatchback,"18,083",Manual,1,1st Owner,Maruti Swift,2016,₹ 5.82 Lakh,1197 cc,Petrol,Comprehensive,18083 Kms,First Owner,KA05,Mar 2016,5 Seats,Manual,2016,22.38 kmpl,1197 CC,88.50bhp@6000rpm,113Nm,5,Silver,K Series Dual jet,1197,113Nm@4400rpm,4.0,4.0,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,,,,Bangalore
0,Petrol,SUV,"30,000",Manual,1,1st Owner,Renault Duster,2020,₹ 10.90 Lakh,1498 cc,Petrol,Third Party insurance,30000 Kms,First Owner,HR26,2020,5 Seats,Manual,2020,16.42 kmpl,1498 CC,104.55bhp@5600rpm,142Nm ,5,Others,1.5L Petrol,1498,142Nm @ 4000RPM,4.0,4.0,DOHC,Multi Point Fuel Injection,,,No,No,4360,1822,1695,2673,1560,1567,1315,,5-Speed,FWD,5,Power,5.2m,Disc,Drum,,,Tubeless Radial Tyres,5,475,,,205,Bangalore
0,Petrol,Hatchback,"57,634",Manual,2,2nd Owner,Tata Tiago,2016,₹ 4.57 Lakh,1199 cc,Petrol,Comprehensive,57634 Kms,Second Owner,KA04,Jun 2016,5 Seats,Manual,2016,23.84 kmpl,1199 CC,84bhp@6000rpm,114Nm,5,Silver,Revotron Engine,1199,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,14,14,,Bangalore
0,Petrol,Sedan,"50,000",Automatic,2,2nd Owner,Mercedes-Benz S-Class,2016,₹ 49 Lakh,4663 cc,Petrol,Third Party insurance,50000 Kms,Second Owner,KA05,2016,5 Seats,Automatic,2016,7.81 kmpl,4663 CC,453.26bhp@5250-5500rpm,700Nm,5,Others,V-Type Petrol Engine,4663,700Nm@1800-3500rpm,8.0,4.0,DOHC,Direct Injection,,10.5:1,Yes,No,5246mm,2130mm,1494mm,3165mm,1624mm,1637mm,2200kg,2730kg,7 Speed,RWD,5,Power,6.15 metres ,Disc,Disc,250 kmph,4.8 Seconds,"Tubeless,Radial",4,530-litres,19,19,,Bangalore
0,Petrol,Sedan,"1,10,000",Manual,1,1st Owner,Honda City,2015,₹ 5.50 Lakh,1497 cc,Petrol,Third Party insurance,110000 Kms,First Owner,KA04,2015,5 Seats,Manual,2015,17.4 kmpl,1497 CC,117.3bhp@6600rpm,145Nm,5,Others,i VTEC Engine,1497,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1049kg,,5 Speed ,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,15,15,,Bangalore
0,Petrol,Hatchback,"23,447",Automatic,1,1st Owner,Hyundai Santro,2018,₹ 5.70 Lakh,1086 cc,Petrol,Comprehensive,23447 Kms,First Owner,KA51,Nov 2018,5 Seats,Automatic,2018,20.3 kmpl,1086 CC,68bhp@5500rpm,99Nm,5,Yellow,1.1 litre Petrol Engine,1086,99Nm@4500 rpm,4.0,3.0,DOHC,MPFI,,,No,No,3610 mm,1645 mm,1560 mm,2400 mm,1463 mm,1481 mm,1050,,5 Speed,FWD,5,Power,,Disc,Drum,,,"Tubeless,Radial",5,235,,,,Bangalore
0,Lpg,Hatchback,"30,000",Manual,2,2nd Owner,Hyundai Santro Xing,2009,₹ 2.20 Lakh,1086 cc,LPG,Third Party insurance,30000 Kms,Second Owner,KA51,2009,5 Seats,Manual,2009,13.45 kmpl,1086 CC,62.1bhp@5500rpm,96.1Nm,5,Others,Bifuel Engine,1086,96.1Nm@3000rpm,3.0,4.0,SOHC,MPFI+LPG,,,No,No,3565mm,1525mm,1590mm,2380mm,1315mm,1300mm,845,,5 Speed,FWD,5,Power,4.4 meters,Ventilated Disc,Drum,,,"Tubeless,Radial",5,,13,13,,Bangalore
0,Petrol,Sedan,"33,000",Automatic,1,1st Owner,Mercedes-Benz E-Class,2017,₹ 41.45 Lakh,1991 cc,Petrol,Comprehensive,33000 Kms,First Owner,KA05,Nov 2017,5 Seats,Automatic,2017,15 kmpl,1991 CC,194.4bhp@5800-6100,300Nm,5,White,In-Line Petrol Engine,1991,300Nm@1600-4000rpm,4.0,4.0,DOHC,Direct Injection,,,Yes,No,5063mm,1860mm,1494mm,3079mm,1595mm,1597mm,1585,,9 Speed,RWD,5,Electric,6 metres,Ventilated Disc,Disc,236 Kmph,8 Seconds,"Tubeless,Radial",4,540-litres,17,17,,Bangalore
0,Diesel,SUV,"87,667",Manual,2,2nd Owner,Mahindra XUV500,2014,₹ 8.61 Lakh,2179 cc,Diesel,Third Party,87667 Kms,Second Owner,WB38,Apr 2014,7 Seats,Manual,2014,15.1 kmpl,2179 CC,140bhp@3750rpm,330Nm,7,Black,mHawk Diesel Engine,2179,330Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection ,,,Yes,No,4585mm,1890mm,1785mm,2700mm,,,1900,2450kg,6 Speed ,FWD,7,Power,5.6 metres,Disc & Caliper Type,Disc & Caliper Type,175 kmph,12.5 Seconds,"Tubeless,Radial ",5,,,,,Bangalore
0,Diesel,Sedan,"40,000",Automatic,2,2nd Owner,Audi A4,2016,₹ 17.85 Lakh,1968 cc,Diesel,Third Party insurance,40000 Kms,Second Owner,KA53,2016,5 Seats,Automatic,2016,17.11 kmpl,1968 CC,174.33bhp@4200rpm,380Nm,5,Others,TDI Diesel Engine,1968,380Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4701mm,2040mm,1427mm,2808mm,1564mm,1551mm,1595kg,2055kg,8 Speed,FWD,5,Power,5.8 metres,Ventilated Disc,Disc,222 Kmph,7.9 Seconds,"Tubeless,Radial",4,480-litres,16,16,,Bangalore
0,Diesel,SUV,"79,012",Manual,2,2nd Owner,Mahindra XUV500,2014,₹ 8.03 Lakh,2179 cc,Diesel,Comprehensive,79012 Kms,Second Owner,KA51,Oct 2014,7 Seats,Manual,2014,15.1 kmpl,2179 CC,140bhp@3750rpm,330Nm,7,Silver,mHawk Diesel Engine,2179,330Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection,,,Yes,No,4585mm,1890mm,1785mm,2700mm,,,1940,2450kg,6 Speed,FWD,7,Power,5.6 metres,Disc & Caliper Type,Disc & Caliper Type,175 kmph,12.5 Seconds,"Tubeless,Radial ",5,,17,17,,Bangalore
0,Diesel,SUV,"31,344",Manual,1,1st Owner,Jeep Compass,2021,₹ 25.65 Lakh,1956 cc,Diesel,Comprehensive,31344 Kms,First Owner,KA53,Oct 2021,5 Seats,Manual,2021,17.1 kmpl,1956 CC,167.67bhp@3750rpm,350Nm,5,Black,2.0L Multijet Diesel,1956,350Nm@1750-2500rpm,4.0,4.0,,,,,Yes,,4405mm,1818mm,1640mm,2636mm,,,1650,,6 Speed,4x2,5,Power,,Disc,Disc,,,"Tubeless, Radial",5,,18,18,,Bangalore
0,Petrol,Sedan,"50,000",Manual,1,1st Owner,Hyundai Xcent,2018,₹ 6.74 Lakh,1197 cc,Petrol,Third Party insurance,50000 Kms,First Owner,KA51,2018,5 Seats,Manual,2018,20.14 kmpl,1197 CC,81.86bhp@6000rpm,113.75nm,5,Others,1.2L Kappa Dual VTVT Petrol,1197,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1660mm,1520mm,2425mm,1479mm,1493mm,1140,,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,172 Kmph,,Tubeless,4,407,14,14,,Bangalore
0,Petrol,Hatchback,"12,434",Manual,1,1st Owner,Maruti Wagon R,2015,₹ 3.49 Lakh,998 cc,Petrol,Comprehensive,12434 Kms,First Owner,KA47,May 2015,5 Seats,Manual,2015,20.51 kmpl,998 CC,67.04bhp@6200rpm,90Nm,5,Brown,K10B Petrol Engine,998,90Nm@3500rpm,3.0,4.0,DOHC,,69 x 72 mm,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,1350kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,5,180-liters,,,,Bangalore
0,Petrol,MUV,"60,000",Manual,2,2nd Owner,Maruti Ertiga,2019,₹ 10.50 Lakh,1462 cc,Petrol,Third Party insurance,60000 Kms,Second Owner,KA51,2019,7 Seats,Manual,2019,19.34 kmpl,1462 CC,103bhp@6000rpm,138Nm,7,Others,K15 Smart Hybrid,1462,138Nm@4400rpm,4.0,4.0,DOHC,MPFI,74 X 85 mm,10.5:1,No,No,4395 mm,1735 mm,1690 mm,2740 mm,1510 mm,1520 mm,1170 Kg,1730 Kg,5 Speed,2WD,7,Power,5.2 metres,Ventilated Disc,Drum,,,"Tubeless, Radial",5,209 litres,,,,Bangalore
0,Diesel,Sedan,"12,000",Automatic,1,1st Owner,Mercedes-Benz C-Class,2019,₹ 44.25 Lakh,1950 cc,Diesel,Comprehensive,12000 Kms,First Owner,KA19,Jan 2019,5 Seats,Automatic,2019,12.6 kmpl,1950 CC,194bhp@3800rpm,400Nm,5,White,In-Line Engine,1950,400Nm@1600-2800rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4686mm,2020mm,1442mm,2840mm,1588mm,1588 mm,1655kg,2165 Kg,9 Speed,RWD,5,Power,5.61 metres,Disc,Disc,240 Kmph,6.9 Seconds,"Tubeless, Radial",4,480-litres,17,17,,Bangalore
0,Petrol,Hatchback,"40,987",Manual,2,2nd Owner,Maruti Wagon R,2015,₹ 4.06 Lakh,998 cc,Petrol,Comprehensive,40987 Kms,Second Owner,KA05,Mar 2015,5 Seats,Manual,2015,20.51 kmpl,998 CC,67.04bhp@6200rpm,90Nm,5,White,K10B Petrol Engine,998,90Nm@3500rpm,3.0,4.0,DOHC,,69 x 72 mm,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,1350kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,5,180-liters,,,,Bangalore
0,Petrol,Sedan,"18,157",Automatic,1,1st Owner,BMW 5 Series,2020,₹ 49.65 Lakh,1998 cc,Petrol,Zero Dep,18157 Kms,First Owner,KA03,Oct 2020,5 Seats,Automatic,2020,15.56 kmpl,1998 CC,248.08bhp@5200rpm,350Nm,5,Blue,TwinPower Turbo Inline 4 Cylinder Engine,1998,350Nm@1450-4800rpm,4.0,4.0,,MPFi,,,Twin,No,4936mm,2126mm,1466mm,2975mm,1605mm,1630mm,1675,,8-Speed Steptronic,RWD,5,Power,5.6,Ventilated Disc,Ventilated Disc,250kmph,6.1,"Tubeless,Runflat",4,520-litres,R18,R18,,Bangalore
0,Diesel,SUV,"1,20,000",Manual,3,3rd Owner,Toyota Fortuner,2011,₹ 11 Lakh,2982 cc,Diesel,Third Party insurance,120000 Kms,Third Owner,KA41,2011,7 Seats,Manual,2011,11.5 kmpl,2982 CC,171 PS @ 3600 rpm,343 Nm ,7,Others,4 Cylinders In-line,2982,343 Nm @ 1400-3400 rpm,4.0,4.0,DOHC,Common-Rail type,,,Yes,No,4695 mm,1840 mm,1850 mm,2750 mm,1540 mm,1540 mm,1955 kg,2510 kg,5 Speed,4WD,7,Power,5.9 m,Ventilated Disc,Leading-Trailing Drum,176 Kmph,9.6 Seconds,"Tubeless,Radial",5,,17,17,,Bangalore
0,Diesel,SUV,"40,000",Automatic,2,2nd Owner,Renault Duster,2020,₹ 11 Lakh,1461 cc,Diesel,Third Party insurance,40000 Kms,Second Owner,HR26,2020,5 Seats,Automatic,2020,19.87 kmpl,1461 CC,108.5bhp@4000rpm,245Nm,5,Others,,1461,245Nm@1750rpm,4.0,4.0,DOHC,Common Rail Direct Injection (dCi),,,No,No,4360,1822,1695,2673,1560,1567,1375,,6-Speed,FWD,5,Power,5.2m,Disc,Drum,,,Radial,5,475,16,16,205,Bangalore
0,Petrol,Hatchback,"89,667",Manual,1,1st Owner,Hyundai i20,2016,₹ 5.94 Lakh,1197 cc,Petrol,Comprehensive,89667 Kms,First Owner,KA50,May 2016,5 Seats,Manual,2016,18.6 kmpl,1197 CC,81.83bhp@6000rpm,114.7Nm,5,White,Kappa VTVT Petrol Engine,1197,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1066kg,,5 Speed,FWD,5,Power,5.2 metres,Disc,Drum,170 Kmph,13.2 Seconds,Tubeless,5,295-litres,,,,Bangalore
