bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
SUV,1,2018,₹ 7.72 Lakh,Diesel,Comprehensive,67756 Kms,Manual,2016.0,24.3 kmpl,5 Speed,Delhi
SUV,1,2017,₹ 5.87 Lakh,Diesel,Comprehensive,83811 Kms,Manual,2015.0,25.1 kmpl,5 Speed,Delhi
Hatchback,1,2016,₹ 4.10 Lakh,CNG,Comprehensive,68000 Kms,Manual,2016.0,31.79 kmpl,5 Speed ,Delhi
Hatchback,1,2022,₹ 6.99 Lakh,Petrol,Comprehensive,4100 Kms,Manual,2012.0,22.38 kmpl,5-Speed,Delhi
Sedan,1,2020,₹ 6.42 Lakh,Petrol,Third Party insurance,46243 Kms,Manual,2018.0,21.21 kmpl,5 Speed,Delhi
Sedan,1,2014,₹ 27 Lakh,Petrol,Zero Dep,37000 Kms,Automatic,2017.0,9.26 kmpl,7 Speed,Delhi
Hatchback,2,2015,₹ 3.66 Lakh,Petrol,Comprehensive,52123 Kms,Automatic,2016.0,19.34 kmpl,5 Speed ,Delhi
SUV,2,2016,₹ 49.50 Lakh,Diesel,Comprehensive,66000 Kms,Automatic,2018.0,11 kmpl,9 Speed,Delhi
Hatchback,1,2015,₹ 4.47 Lakh,Petrol,Comprehensive,23690 Kms,Manual,2020.0,18.9 kmpl,5 Speed,Delhi
Hatchback,1,2016,₹ 2.62 Lakh,Petrol,Comprehensive,70879 Kms,Manual,2014.0,22.05 kmpl,5 Speed,Delhi
Hatchback,1,2012,₹ 2.65 Lakh,Petrol,Comprehensive,42000 Kms,Manual,2020.0,16.47 kmpl,5 Speed,Delhi
SUV,2,2018,₹ 38.75 Lakh,Diesel,Comprehensive,56000 Kms,Automatic,2017.0,16.38 kmpl,8 Speed,Delhi
Sedan,2,2017,₹ 7.61 Lakh,Petrol,Comprehensive,12651 Kms,Manual,2017.0,17.8 kmpl,5 Speed,Delhi
Sedan,1,2016,₹ 4.30 Lakh,Petrol,Comprehensive,61000 Kms,Manual,2017.0,17.8 kmpl,5 Speed,Delhi
Hatchback,1,2018,₹ 4.01 Lakh,CNG,Comprehensive,98705 Kms,Manual,2018.0,35.6 km/kg,5-Speed,Delhi
MUV,1,2020,₹ 29.50 Lakh,Diesel,Third Party insurance,62000 Kms,Automatic,2022.0,14.11 kmpl,8-Speed,Delhi
Sedan,1,2014,₹ 3.80 Lakh,Petrol,Comprehensive,28000 Kms,Manual,2023.0,18 kmpl,5 Speed,Delhi
SUV,1,2020,₹ 8.25 Lakh,Diesel,Third Party insurance,36000 Kms,Manual,2018.0,16.5 kmpl,5 Speed,Delhi
Sedan,1,2017,₹ 6.35 Lakh,Diesel,Third Party insurance,32000 Kms,Manual,2021.0,28.4 kmpl,5 Speed,Delhi
SUV,1,2017,₹ 22.50 Lakh,Diesel,Comprehensive,38000 Kms,Automatic,2017.0,20.68 kmpl,8 Speed,Delhi
Hatchback,1,2017,₹ 3.40 Lakh,Petrol,Zero Dep,33000 Kms,Manual,2020.0,23.95 kmpl,5 Speed,Delhi
Sedan,1,2018,₹ 9.50 Lakh,Diesel,Third Party insurance,68045 Kms,Automatic,2018.0,22 kmpl,6 Speed,Delhi
SUV,1,2022,₹ 18.25 Lakh,Diesel,Zero Dep,12000 Kms,Manual,2016.0,,6 Speed,Delhi
SUV,1,2023,₹ 72 Lakh,Diesel,Comprehensive,4000 Kms,Automatic,2017.0,,9 speed Tronic,Delhi
Hatchback,1,2018,₹ 3.92 Lakh,Petrol,Third Party insurance,19765 Kms,Manual,2022.0,20.51 kmpl,5 Speed,Delhi
SUV,1,2021,₹ 12.05 Lakh,Petrol,Comprehensive,7076 Kms,Manual,2017.0,16.82 kmpl,6 Speed,Delhi
Sedan,1,2017,₹ 7.43 Lakh,Petrol,Third Party insurance,30560 Kms,Manual,2018.0,17.8 kmpl,5 Speed,Delhi
Sedan,1,2020,₹ 33.75 Lakh,Diesel,Comprehensive,5000 Kms,Automatic,2015.0,,8 Speed,Delhi
Hatchback,1,2018,₹ 4.85 Lakh,CNG,Comprehensive,47944 Kms,Manual,2022.0,31.79 kmpl,5 Speed,Delhi
SUV,1,2016,₹ 8.79 Lakh,Petrol,Comprehensive,78550 Kms,Automatic,2019.0,13 kmpl,6 Speed,Delhi
SUV,1,2017,₹ 10.50 Lakh,Petrol,Third Party insurance,65000 Kms,Automatic,2014.0,12.95 kmpl,6 Speed,Delhi
SUV,1,2022,₹ 19.80 Lakh,Diesel,Comprehensive,32000 Kms,Automatic,2011.0,18 kmpl,6-Speed,Delhi
Sedan,2,2017,₹ 4.62 Lakh,Petrol,Third Party insurance,58996 Kms,Manual,2016.0,19.5 kmpl,5 Speed,Delhi
Sedan,2,2018,₹ 26.50 Lakh,Diesel,Third Party insurance,34000 Kms,Automatic,2015.0,13.5 kmpl,8 Speed,Delhi
Hatchback,2,2015,₹ 5.09 Lakh,Petrol,Third Party insurance,59537 Kms,Manual,2020.0,18.6 kmpl,5 Speed,Delhi
Hatchback,1,2022,₹ 5.30 Lakh,Petrol,Comprehensive,9314 Kms,Manual,2022.0,21.79 kmpl,5 Speed,Delhi
