bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
Sedan,2,2014,₹ 5.24 Lakh,Diesel,Comprehensive,100000 Kms,Manual,2015.0,20.4 kmpl,6 Speed,Chennai
Sedan,1,2014,₹ 21.50 Lakh,Diesel,Third Party insurance,12000 Kms,Automatic,2016.0,17.11 kmpl,8 Speed,Chennai
Sedan,1,2011,₹ 6.75 Lakh,Diesel,Comprehensive,70001 Kms,Manual,2012.0,22.32 kmpl,6 Speed ,Chennai
Sedan,1,2014,₹ 4.70 Lakh,Diesel,Zero Dep,61331 Kms,Manual,2019.0,24.4 kmpl,5 Speed ,Chennai
Sedan,1,2014,₹ 5.30 Lakh,Diesel,Comprehensive,51438 Kms,Manual,2015.0,25.8 kmpl,5 Speed,Chennai
Hatchback,1,2019,₹ 4.63 Lakh,Petrol,Zero Dep,67988 Kms,Manual,2019.0,20.3 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 7.27 Lakh,Petrol,Third Party insurance,36032 Kms,Automatic,2016.0,18.2 kmpl,5 Speed,Chennai
Sedan,1,2015,₹ 5.15 Lakh,Petrol,Third Party insurance,114883 Kms,Manual,2022.0,17.4 kmpl,5 Speed,Chennai
Sedan,1,2016,₹ 5.47 Lakh,Petrol,Comprehensive,88584 Kms,Manual,2017.0,22.41 kmpl,5 Speed,Chennai
Hatchback,2,2012,₹ 3.07 Lakh,Diesel,Third Party insurance,97419 Kms,Manual,2021.0,23.2 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 48 Lakh,Petrol,Comprehensive,70000 Kms,Automatic,2022.0,13.17 kmpl,8 Speed,Chennai
SUV,2,2015,₹ 5.29 Lakh,Diesel,Zero Dep,106498 Kms,Manual,2021.0,22.7 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 48 Lakh,Petrol,Comprehensive,70000 Kms,Automatic,2022.0,13.17 kmpl,8 Speed,Chennai
Hatchback,2,2016,₹ 6.24 Lakh,Diesel,Comprehensive,68177 Kms,Manual,2017.0,25.2 kmpl,5 Speed,Chennai
Sedan,1,2022,₹ 18.16 Lakh,Petrol,Comprehensive,27524 Kms,Manual,2016.0,18.72 kmpl,6-Speed,Chennai
SUV,1,2017,₹ 8.50 Lakh,Diesel,Third Party insurance,75471 Kms,Manual,2017.0,23.65 kmpl,5 Speed,Chennai
Sedan,1,2021,₹ 7.45 Lakh,Petrol,Third Party insurance,8000 Kms,Manual,2019.0,18.6 kmpl,5 Speed,Chennai
MUV,1,2022,₹ 16.90 Lakh,Petrol,Comprehensive,13200 Kms,Automatic,2020.0,,6-Speed iMT,Chennai
SUV,1,2021,₹ 11.50 Lakh,Petrol,Comprehensive,20000 Kms,Manual,2017.0,,6-speed,Chennai
SUV,1,2022,₹ 30 Lakh,Diesel,Third Party insurance,20000 Kms,Automatic,2017.0,18.6 kmpl,8-Speed,Chennai
Hatchback,1,2017,₹ 3.10 Lakh,Petrol,Comprehensive,60730 Kms,Manual,2018.0,23.95 kmpl,5 Speed,Chennai
Sedan,2,2016,₹ 4.95 Lakh,Petrol,Comprehensive,44494 Kms,Manual,2016.0,20.85 kmpl,5 Speed,Chennai
MUV,1,2017,₹ 8 Lakh,Petrol,Third Party,20000 Kms,Manual,2017.0,17.5 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 8.25 Lakh,Diesel,Third Party,45673 Kms,Automatic,2015.0,21.5 kmpl,6 Speed,Chennai
SUV,1,2020,₹ 35.75 Lakh,Diesel,Comprehensive,26000 Kms,Manual,2016.0,14.24 kmpl,6 Speed,Chennai
Sedan,1,2017,₹ 7.74 Lakh,Petrol,Zero Dep,51878 Kms,Manual,2021.0,17.01 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 5.25 Lakh,Petrol,Comprehensive,56747 Kms,Automatic,2020.0,19.15 kmpl,CVT,Chennai
Hatchback,1,2018,₹ 6 Lakh,Petrol,Comprehensive,38000 Kms,Manual,2013.0,20.4 kmpl,5 Speed,Chennai
Hatchback,2,2016,₹ 5.82 Lakh,Petrol,Zero Dep,76457 Kms,Manual,2004.0,18.6 kmpl,5 Speed,Chennai
Hatchback,2,2017,₹ 5.51 Lakh,Petrol,Third Party insurance,78880 Kms,Manual,2017.0,18.7 kmpl,5 Speed,Chennai
Sedan,1,2015,₹ 5.25 Lakh,Petrol,Zero Dep,19593 Kms,Manual,2016.0,20.85 kmpl,5 Speed,Chennai
Hatchback,1,2016,₹ 5.83 Lakh,Petrol,Comprehensive,84429 Kms,Manual,2019.0,18.6 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 8.25 Lakh,Diesel,Third Party insurance,27599 Kms,Manual,2017.0,25 kmpl,6 Speed,Chennai
MUV,1,2020,₹ 6.70 Lakh,Petrol,Third Party insurance,76898 Kms,Manual,2019.0,20 kmpl,5 Speed,Chennai
Hatchback,2,2013,₹ 3.96 Lakh,Petrol,Comprehensive,119070 Kms,Manual,2016.0,16.47 kmpl,5 Speed,Chennai
Hatchback,2,2004,"₹ 49,000 ",Diesel,Third Party insurance,120000 Kms,Manual,2019.0,13.5 kmpl,,Chennai
Sedan,1,2017,₹ 5.90 Lakh,Petrol,Third Party insurance,32199 Kms,Manual,2019.0,20.85 kmpl,5 Speed,Chennai
Hatchback,1,2016,₹ 4 Lakh,Petrol,Comprehensive,85607 Kms,Manual,2013.0,23.84 kmpl,5 Speed,Chennai
Hatchback,1,2019,₹ 7 Lakh,Petrol,Comprehensive,30000 Kms,Manual,2019.0,21.4 kmpl,5 Speed,Chennai
SUV,1,2017,₹ 7 Lakh,Diesel,Comprehensive,80000 Kms,Manual,2013.0,18.49 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 11.50 Lakh,Diesel,Comprehensive,1200000 Kms,Manual,2018.0,,6 Speed,Chennai
Hatchback,1,2016,₹ 5.95 Lakh,Petrol,Comprehensive,45429 Kms,Automatic,2016.0,19 kmpl,5 Speed,Chennai
Hatchback,1,2019,₹ 4.60 Lakh,Petrol,Third Party,9000 Kms,Manual,2016.0,22.25 kmpl,5 Speed,Chennai
Hatchback,1,2019,₹ 3.95 Lakh,Petrol,Third Party insurance,31000 Kms,Manual,2006.0,24.7 kmpl,5 Speed,Chennai
Hatchback,1,2013,₹ 4.35 Lakh,Diesel,Third Party insurance,81488 Kms,Manual,2017.0,20.14 kmpl,5 Speed,Chennai
Hatchback,1,2019,₹ 6.66 Lakh,Petrol,Comprehensive,94439 Kms,Manual,2019.0,18.78 kmpl,5 Speed,Chennai
Hatchback,3,2013,₹ 3.80 Lakh,Petrol,Third Party insurance,98481 Kms,Manual,2022.0,22.38 kmpl,5-Speed,Chennai
Hatchback,1,2018,₹ 7 Lakh,Petrol,Third Party insurance,20000 Kms,Manual,2022.0,21.4 kmpl,5 Speed,Chennai
Sedan,2,2016,₹ 6.92 Lakh,Diesel,Third Party,100894 Kms,Automatic,2021.0,22.15 kmpl,7 Speed,Chennai
Hatchback,1,2016,₹ 5.90 Lakh,Diesel,Third Party insurance,86215 Kms,Manual,2012.0,25.2 kmpl,5 Speed,Chennai
Sedan,2,2006,₹ 1.25 Lakh,Diesel,Third Party,120000 Kms,Manual,2021.0,17.8 kmpl,,Chennai
Hatchback,2,2017,₹ 5.20 Lakh,Petrol,Third Party,98115 Kms,Manual,2017.0,16.2 kmpl,5 Speed,Chennai
Sedan,1,2019,₹ 6.95 Lakh,Petrol,Comprehensive,47125 Kms,Manual,2016.0,17.5 kmpl,5 Speed,Chennai
Hatchback,1,2022,₹ 6.07 Lakh,Petrol,Comprehensive,4453 Kms,Manual,2015.0,23.56 kmpl,,Chennai
SUV,1,2022,₹ 6.88 Lakh,Petrol,Comprehensive,9991 Kms,Manual,2013.0,20.09 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 6.60 Lakh,Petrol,Comprehensive,4564 Kms,Manual,2019.0,18.9 kmpl,5 Speed,Chennai
Hatchback,1,2012,₹ 2.50 Lakh,Diesel,Comprehensive,108713 Kms,Manual,2021.0,20 kmpl,5 Speed,Chennai
Sedan,1,2021,₹ 12.45 Lakh,Petrol,Comprehensive,13000 Kms,Manual,2015.0,18.6 kmpl,6 Speed,Chennai
SUV,2,2017,₹ 5.75 Lakh,Petrol,Third Party insurance,55450 Kms,Manual,2022.0,17.5 kmpl,5 Speed,Chennai
SUV,1,2016,₹ 8.45 Lakh,Petrol,Third Party insurance,49000 Kms,Manual,2020.0,13 kmpl,6 Speed,Chennai
Sedan,1,2015,₹ 4.05 Lakh,Petrol,Third Party insurance,86694 Kms,Manual,2021.0,20.14 kmpl,5 Speed,Chennai
Sedan,2,2013,₹ 3 Lakh,Diesel,Third Party insurance,150000 Kms,Manual,2022.0,23.4 kmpl,5 Speed,Chennai
Sedan,0,2019,₹ 9.25 Lakh,Petrol,Comprehensive,25284 Kms,Manual,2020.0,17.4 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 7.50 Lakh,Petrol,Comprehensive,30000 Kms,Manual,2018.0,21.01 kmpl,5-Speed,Chennai
Sedan,2,2015,₹ 13 Lakh,Diesel,Comprehensive,109000 Kms,Automatic,2019.0,18.88 kmpl,8 Speed,Chennai
MUV,1,2022,₹ 17.14 Lakh,Petrol,Third Party,4605 Kms,Manual,2015.0,16.2 kmpl,6-Speed,Chennai
SUV,1,2020,₹ 9.28 Lakh,Petrol,Comprehensive,49218 Kms,Manual,2018.0,18.2 kmpl,6-Speed iMT,Chennai
Sedan,1,2021,₹ 9.50 Lakh,Petrol,Comprehensive,45568 Kms,Manual,2022.0,18.6 kmpl,6 Speed,Chennai
SUV,1,2022,₹ 7.02 Lakh,Petrol,Comprehensive,36035 Kms,Manual,2022.0,20.09 kmpl,5 Speed,Chennai
SUV,1,2020,₹ 8.45 Lakh,Diesel,Third Party insurance,45242 Kms,Manual,2014.0,20.1 kmpl,6 Speed,Chennai
SUV,2,2018,₹ 34.75 Lakh,Diesel,Comprehensive,38000 Kms,Automatic,2021.0,12.51 kmpl,9 Speed,Chennai
Hatchback,1,2019,₹ 5.13 Lakh,Petrol,Third Party,52979 Kms,Automatic,2014.0,23.84 kmpl,5 Speed,Chennai
Sedan,2,2015,₹ 5.70 Lakh,Diesel,Comprehensive,67130 Kms,Manual,2014.0,24.7 kmpl,5 Speed,Chennai
SUV,1,2018,₹ 8.51 Lakh,Petrol,Comprehensive,19595 Kms,Manual,2013.0,15.4 kmpl,6 Speed,Chennai
SUV,1,2022,₹ 23.50 Lakh,Diesel,Third Party insurance,23183 Kms,Manual,2018.0,,6-Speed,Chennai
Sedan,1,2022,₹ 57.90 Lakh,Diesel,Comprehensive,15000 Kms,Automatic,2016.0,19.62 kmpl,8-Speed Steptronic,Chennai
Hatchback,1,2014,₹ 3.70 Lakh,Petrol,Third Party insurance,67558 Kms,Manual,2013.0,23.1 kmpl,5 Speed ,Chennai
SUV,1,2021,₹ 19 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2014.0,14.5 kmpl,6-speed,Chennai
Hatchback,1,2014,₹ 4.60 Lakh,Petrol,Comprehensive,55664 Kms,Manual,2019.0,16.47 kmpl,5 Speed,Chennai
Hatchback,1,2014,₹ 4.60 Lakh,Petrol,Comprehensive,55664 Kms,Manual,2020.0,16.47 kmpl,5 Speed,Chennai
Hatchback,1,2013,₹ 3.65 Lakh,Diesel,Comprehensive,109324 Kms,Manual,2019.0,21.9 kmpl,5-Speed,Chennai
SUV,1,2018,₹ 26 Lakh,Diesel,Comprehensive,118008 Kms,Automatic,2019.0,16.25 kmpl,7 Speed,Chennai
SUV,1,2016,₹ 7.90 Lakh,Diesel,Third Party,72000 Kms,Manual,2022.0,19.72 kmpl,6 Speed,Chennai
Hatchback,1,2013,₹ 4.50 Lakh,Diesel,Third Party,86630 Kms,Manual,2016.0,22.9 kmpl,5 Speed,Chennai
Hatchback,1,2014,₹ 3.70 Lakh,Petrol,Third Party insurance,82476 Kms,Manual,2020.0,20.51 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 6.65 Lakh,Petrol,Comprehensive,27749 Kms,Automatic,2009.0,20.7 kmpl,5-Speed,Chennai
SUV,1,2020,₹ 10.36 Lakh,Petrol,Third Party,21609 Kms,Automatic,2020.0,18.15 kmpl,7-Speed,Chennai
Sedan,1,2019,₹ 8.75 Lakh,Petrol,Third Party insurance,89609 Kms,Manual,2013.0,16 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 5.39 Lakh,Diesel,Third Party insurance,83556 Kms,Manual,2016.0,24.4 kmpl,5-Speed,Chennai
SUV,1,2022,₹ 8.47 Lakh,Petrol,Third Party insurance,31513 Kms,Manual,2019.0,20.09 kmpl,5 Speed,Chennai
Sedan,1,2016,₹ 7.55 Lakh,Petrol,Third Party,45939 Kms,Manual,2018.0,17.4 kmpl,5 Speed,Chennai
Hatchback,1,2020,₹ 4.96 Lakh,Petrol,Third Party,40531 Kms,Manual,2018.0,19.01 kmpl,5-Speed,Chennai
MUV,3,2009,₹ 3.75 Lakh,Diesel,Comprehensive,120000 Kms,Manual,2010.0,13.6 kmpl,5 Speed,Chennai
SUV,1,2020,₹ 10.09 Lakh,Petrol,Comprehensive,17663 Kms,Automatic,2013.0,18.76 kmpl,4 Speed,Chennai
Hatchback,3,2013,₹ 3.39 Lakh,Petrol,Comprehensive,77706 Kms,Manual,2012.0,18.9 kmpl,5 Speed,Chennai
SUV,1,2016,₹ 49 Lakh,Diesel,Comprehensive,49000 Kms,Automatic,2018.0,14.75 kmpl,8 Speed,Chennai
SUV,1,2019,₹ 68 Lakh,Diesel,Third Party insurance,60000 Kms,Automatic,2017.0,17.2 kmpl,8 Speed,Chennai
Sedan,1,2018,₹ 34 Lakh,Diesel,Comprehensive,35000 Kms,Automatic,2007.0,20.37 kmpl,8 Speed,Chennai
SUV,1,2018,₹ 50 Lakh,Diesel,Comprehensive,54000 Kms,Automatic,2022.0,16.38 kmpl,8 Speed,Chennai
Sedan,1,2010,₹ 5.19 Lakh,Petrol,Third Party insurance,110000 Kms,Manual,2021.0,12.8 kmpl,5 Speed,Chennai
SUV,2,2013,₹ 21.50 Lakh,Diesel,Comprehensive,135000 Kms,Automatic,2022.0,12.07 kmpl,8 Speed Tiptronic,Chennai
Sedan,1,2012,₹ 14.50 Lakh,Diesel,Third Party insurance,80000 Kms,Automatic,2019.0,17.11 kmpl,6 Speed,Chennai
SUV,1,2018,₹ 8.25 Lakh,Diesel,Third Party,72020 Kms,Manual,2021.0,23.65 kmpl,5 Speed,Chennai
MUV,1,2017,₹ 18.50 Lakh,Diesel,Third Party,98000 Kms,Manual,2018.0,13.68 kmpl,5 Speed,Chennai
Hatchback,0,2007,₹ 1.65 Lakh,Petrol,Comprehensive,36385 Kms,Manual,2020.0,19.7 kmpl,5 Speed,Chennai
SUV,1,2022,₹ 19.91 Lakh,Diesel,Comprehensive,4259 Kms,Manual,2020.0,20.4 kmpl,6-speed,Chennai
SUV,1,2021,₹ 19.94 Lakh,Diesel,Zero Dep,12925 Kms,Automatic,2021.0,14.6 kmpl,6-Speed,Chennai
SUV,1,2022,₹ 16.45 Lakh,Petrol,Third Party insurance,27000 Kms,Automatic,2021.0,17.88 kmpl,7-Speed DSG,Chennai
SUV,2,2019,₹ 7.19 Lakh,Petrol,Comprehensive,27425 Kms,Manual,2009.0,17 kmpl,6 Speed,Chennai
Hatchback,1,2021,₹ 6.33 Lakh,Petrol,Third Party insurance,13126 Kms,Automatic,2012.0,26 kmpl,5-Speed,Chennai
MUV,1,2018,₹ 7.99 Lakh,Petrol,Zero Dep,57000 Kms,Manual,2014.0,19.34 kmpl,5 Speed,Chennai
Hatchback,2,2020,₹ 8.61 Lakh,Petrol,Comprehensive,24500 Kms,Automatic,2020.0,21.4 kmpl,CVT,Chennai
Sedan,1,2020,₹ 6.10 Lakh,Petrol,Third Party insurance,40000 Kms,Manual,2009.0,22.41 kmpl,5 Speed,Chennai
MUV,1,2021,₹ 7.49 Lakh,Petrol,Comprehensive,27216 Kms,Manual,2014.0,20 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 6.48 Lakh,Petrol,Comprehensive,12060 Kms,Manual,2020.0,19.01 kmpl,5-Speed,Chennai
Sedan,1,2009,₹ 2.50 Lakh,Diesel,Third Party insurance,150000 Kms,Manual,2018.0,19.3 kmpl,5 Speed,Chennai
Hatchback,2,2012,₹ 2.65 Lakh,Petrol,Third Party insurance,46931 Kms,Manual,2022.0,21.1 kmpl,5 Speed,Chennai
Hatchback,1,2014,₹ 4.90 Lakh,Petrol,Comprehensive,60000 Kms,Manual,2014.0,16.47 kmpl,5 Speed,Chennai
SUV,1,2020,₹ 15.90 Lakh,Petrol,Third Party insurance,45787 Kms,Manual,2018.0,16.5 kmpl,6-Speed,Chennai
Sedan,2,2009,₹ 1.14 Lakh,Petrol,Comprehensive,80000 Kms,Manual,2022.0,14.4 kmpl,5 Speed,Chennai
Sedan,1,2014,₹ 4.75 Lakh,Diesel,Comprehensive,44000 Kms,Manual,2019.0,25.8 kmpl,5 Speed,Chennai
Sedan,1,2020,₹ 9.73 Lakh,Petrol,Third Party insurance,4786 Kms,Automatic,2019.0,18.3 kmpl,CVT,Chennai
Hatchback,1,2018,₹ 6.30 Lakh,Petrol,Third Party insurance,39024 Kms,Manual,2021.0,18.6 kmpl,5 Speed,Chennai
Sedan,1,2022,₹ 58.50 Lakh,Petrol,Third Party,6000 Kms,Automatic,2020.0,15.3 kmpl,8-Speed Steptronic,Chennai
Hatchback,1,2014,₹ 1.50 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2017.0,25.4 kmpl,4 Speed,Chennai
SUV,1,2018,₹ 8.27 Lakh,Petrol,Comprehensive,114386 Kms,Manual,2020.0,15.8 kmpl,6 Speed,Chennai
MUV,1,2022,₹ 7.15 Lakh,Petrol,Comprehensive,27369 Kms,Manual,2017.0,20 kmpl,5 Speed,Chennai
MUV,1,2019,₹ 21 Lakh,Diesel,Comprehensive,58000 Kms,Manual,2016.0,13.68 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 5.69 Lakh,Petrol,Third Party,16561 Kms,Manual,2016.0,18.9 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 4.90 Lakh,Petrol,Comprehensive,23328 Kms,Manual,2020.0,21.74 kmpl,5 Speed,Chennai
Hatchback,1,2020,₹ 4.85 Lakh,Petrol,Comprehensive,16473 Kms,Manual,2015.0,21.7 kmpl,5 Speed,Chennai
Hatchback,2,2017,₹ 4.52 Lakh,Petrol,Comprehensive,46375 Kms,Manual,2019.0,18.5 kmpl,5 Speed,Chennai
Hatchback,1,2020,₹ 4.85 Lakh,Petrol,Comprehensive,16473 Kms,Manual,2018.0,21.7 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 6.22 Lakh,Petrol,Third Party insurance,91799 Kms,Automatic,2016.0,21.4 kmpl,CVT,Chennai
Hatchback,3,2016,₹ 5.54 Lakh,Petrol,Comprehensive,38919 Kms,Manual,2009.0,18.6 kmpl,5 Speed,Chennai
Hatchback,1,2016,₹ 3.75 Lakh,Petrol,Third Party insurance,70235 Kms,Manual,2017.0,18.9 kmpl,5 Speed,Chennai
Sedan,1,2020,₹ 9.67 Lakh,Petrol,Comprehensive,3989 Kms,Automatic,2014.0,18.3 kmpl,CVT,Chennai
Sedan,1,2015,₹ 4.75 Lakh,Diesel,Third Party insurance,91773 Kms,Manual,2013.0,24.7 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 3.20 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2017.0,22.05 kmpl,5 Speed,Chennai
Sedan,1,2018,₹ 6.95 Lakh,Petrol,Comprehensive,28906 Kms,Manual,2016.0,18.6 kmpl,5 Speed,Chennai
Hatchback,1,2016,₹ 3.50 Lakh,Diesel,Third Party insurance,150000 Kms,Manual,2018.0,27.62 kmpl,5 Speed ,Chennai
Hatchback,3,2009,₹ 2.50 Lakh,Petrol,Comprehensive,70000 Kms,Manual,2017.0,17 kmpl,5 Speed,Chennai
SUV,1,2017,₹ 12.50 Lakh,Diesel,Comprehensive,70000 Kms,Manual,2019.0,16 kmpl,6 Speed ,Chennai
Hatchback,1,2014,₹ 2.60 Lakh,Petrol,Third Party insurance,43428 Kms,Manual,2016.0,22.74 kmpl,5 Speed,Chennai
Hatchback,1,2013,₹ 2.85 Lakh,Diesel,Third Party insurance,67000 Kms,Manual,2019.0,25.44 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 6.16 Lakh,Petrol,Third Party insurance,70528 Kms,Automatic,2019.0,21.4 kmpl,CVT,Chennai
Hatchback,1,2016,₹ 5.94 Lakh,Petrol,Zero Dep,35413 Kms,Manual,2019.0,18.6 kmpl,5 Speed,Chennai
Hatchback,2,2018,₹ 3.20 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2020.0,24.7 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 6.47 Lakh,Petrol,Third Party insurance,66285 Kms,Automatic,2013.0,19 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 14 Lakh,Petrol,Third Party insurance,83129 Kms,Automatic,2017.0,16.5 kmpl,7-Speed DCT,Chennai
Sedan,1,2016,₹ 6 Lakh,Petrol,Third Party insurance,87055 Kms,Manual,2018.0,17.4 kmpl,5 Speed,Chennai
Hatchback,2,2019,₹ 5.05 Lakh,Petrol,Comprehensive,37218 Kms,Manual,2012.0,18.9 kmpl,5 Speed,Chennai
SUV,1,2019,₹ 9 Lakh,Petrol,Comprehensive,60000 Kms,Manual,2011.0,18.27 kmpl,6-Speed,Chennai
Hatchback,1,2019,₹ 7.30 Lakh,Petrol,Third Party insurance,33640 Kms,Manual,2016.0,18.6 kmpl,5 Speed,Chennai
Hatchback,1,2020,₹ 6.48 Lakh,Petrol,Comprehensive,23608 Kms,Manual,2015.0,18.5 kmpl,5-Speed,Chennai
Hatchback,1,2013,₹ 4.35 Lakh,Petrol,Third Party insurance,22353 Kms,Manual,2011.0,18.5 kmpl,5 Speed,Chennai
Sedan,1,2017,₹ 9 Lakh,Diesel,Comprehensive,120000 Kms,Automatic,2008.0,21.72 kmpl,7 Speed,Chennai
Sedan,1,2018,₹ 7.40 Lakh,Petrol,Comprehensive,54241 Kms,Manual,2014.0,17.4 kmpl,5 Speed,Chennai
Hatchback,1,2012,₹ 3.20 Lakh,Petrol,Third Party insurance,86173 Kms,Manual,2016.0,21.79 kmpl,5 Speed,Chennai
Hatchback,1,2011,₹ 2.95 Lakh,Petrol,Third Party insurance,91143 Kms,Manual,2017.0,20.36 kmpl,5 Speed,Chennai
SUV,1,2016,₹ 7.90 Lakh,Diesel,Comprehensive,36000 Kms,Manual,2017.0,18.49 kmpl,5 Speed,Chennai
Sedan,1,2015,₹ 5.30 Lakh,Petrol,Comprehensive,108818 Kms,Manual,2017.0,17.4 kmpl,5 Speed ,Chennai
Hatchback,2,2011,₹ 3.15 Lakh,Diesel,Comprehensive,120000 Kms,Manual,2021.0,22.07 kmpl,5 Speed,Chennai
Sedan,2,2008,₹ 8.50 Lakh,Diesel,Third Party insurance,107000 Kms,Automatic,2017.0,14.84 kmpl,7 Speed,Chennai
Sedan,1,2014,₹ 5.70 Lakh,Petrol,Third Party insurance,90530 Kms,Manual,2017.0,17 kmpl,5 Speed,Chennai
Hatchback,1,2016,₹ 5.76 Lakh,Petrol,Comprehensive,77957 Kms,Manual,2009.0,18.6 kmpl,5 Speed,Chennai
SUV,2,2017,₹ 8.42 Lakh,Petrol,Comprehensive,81394 Kms,Manual,2022.0,13 kmpl,6 Speed,Chennai
Sedan,1,2017,₹ 6.75 Lakh,Petrol,Comprehensive,64341 Kms,Manual,2014.0,20.73 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 5.18 Lakh,Petrol,Third Party,33407 Kms,Manual,2009.0,18.9 kmpl,5 Speed,Chennai
Hatchback,1,2021,₹ 3.97 Lakh,Petrol,Third Party insurance,14811 Kms,Manual,2015.0,20.71 kmpl,5-Speed,Chennai
Sedan,1,2017,₹ 7.75 Lakh,Petrol,Zero Dep,37000 Kms,Manual,2010.0,14.3 kmpl,5 Speed,Chennai
SUV,2,2017,₹ 11.66 Lakh,Diesel,Comprehensive,49326 Kms,Manual,2012.0,17.1 kmpl,6 Speed,Chennai
Sedan,3,2009,₹ 4.50 Lakh,Petrol,Third Party insurance,120000 Kms,Manual,2022.0,9.8 kmpl,5 Speed,Chennai
Hatchback,1,2022,₹ 7.32 Lakh,Petrol,Third Party insurance,4939 Kms,Automatic,2022.0,20.09 kmpl,5 Speed,Chennai
SUV,1,2014,₹ 5.77 Lakh,Petrol,Third Party insurance,82620 Kms,Automatic,2016.0,16.5 kmpl,6 Speed,Chennai
Sedan,2,2009,₹ 6 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2017.0,13.14 kmpl,Six Speed Manual,Chennai
Hatchback,1,2015,₹ 5.10 Lakh,Diesel,Third Party,86857 Kms,Manual,2017.0,20.14 kmpl,5 Speed,Chennai
Sedan,3,2010,₹ 9 Lakh,Diesel,Comprehensive,70000 Kms,Automatic,2022.0,14.84 kmpl,7 Speed,Chennai
SUV,2,2012,₹ 15 Lakh,Diesel,Comprehensive,120000 Kms,Automatic,2021.0,11.33 kmpl,8 Speed,Chennai
Hatchback,1,2022,₹ 6.25 Lakh,Petrol,Third Party insurance,14483 Kms,Automatic,2012.0,25.19 kmpl,,Chennai
SUV,1,2022,₹ 12.75 Lakh,Diesel,Third Party insurance,19000 Kms,Manual,2020.0,,6-speed,Chennai
Hatchback,1,2016,₹ 3.95 Lakh,Petrol,Third Party insurance,36202 Kms,Manual,2017.0,18.16 kmpl,5 Speed,Chennai
MUV,1,2017,₹ 3.20 Lakh,Petrol,Comprehensive,30000 Kms,Manual,2016.0,19.44 kmpl,5 Speed,Chennai
Hatchback,1,2017,₹ 4.50 Lakh,Diesel,Comprehensive,70000 Kms,Manual,2018.0,24.29 kmpl,5 Speed,Chennai
SUV,1,2022,₹ 10.85 Lakh,Petrol,Third Party insurance,20000 Kms,Manual,2016.0,,iMT,Chennai
Hatchback,1,2021,₹ 4 Lakh,Petrol,Third Party insurance,24077 Kms,Manual,2022.0,20.71 kmpl,5-Speed,Chennai
Sedan,1,2012,₹ 4.85 Lakh,Diesel,Third Party insurance,81985 Kms,Manual,2019.0,19.3 kmpl,5 Speed,Chennai
MUV,2,2020,₹ 9.85 Lakh,Petrol,Comprehensive,30000 Kms,Automatic,2020.0,17.99 kmpl,4 Speed,Chennai
Sedan,1,2017,₹ 6.81 Lakh,Petrol,Comprehensive,91841 Kms,Manual,2018.0,17.8 kmpl,5 Speed,Chennai
SUV,3,2016,₹ 6.21 Lakh,Petrol,Comprehensive,64961 Kms,Automatic,2021.0,15.63 kmpl,6 Speed,Chennai
Hatchback,1,2018,₹ 4.10 Lakh,Petrol,Third Party insurance,20950 Kms,Automatic,2018.0,23.95 kmpl,5 Speed,Chennai
Hatchback,2,2016,₹ 5.05 Lakh,Petrol,Comprehensive,94348 Kms,Manual,2019.0,18.6 kmpl,5 Speed,Chennai
SUV,1,2022,₹ 12.90 Lakh,Diesel,Comprehensive,32000 Kms,Manual,2018.0,,6-Speed,Chennai
Hatchback,1,2019,₹ 7.08 Lakh,Petrol,Comprehensive,51744 Kms,Manual,2016.0,18.6 kmpl,5 Speed,Chennai
SUV,2,2020,₹ 17.34 Lakh,Diesel,Third Party insurance,81152 Kms,Automatic,2014.0,15.1 kmpl,6 Speed,Chennai
Sedan,1,2018,₹ 6.50 Lakh,Petrol,Comprehensive,19516 Kms,Manual,2015.0,18.6 kmpl,5 Speed,Chennai
