bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
Hatchback,2,2016,Petrol,Comprehensive,26500,Automatic,2016,24,5,Bangalore,4.2
Sedan,1,2017,Diesel,Comprehensive,81716,Automatic,2017,27,8,Bangalore,18.95
Sedan,2,2018,Diesel,Comprehensive,24000,Automatic,2018,17,9,Bangalore,59.9
SUV,1,2022,Petrol,Third Party insurance,10000,Automatic,2022,17,6,Bangalore,10.5
SUV,1,2021,Petrol,Comprehensive,18000,Automatic,2021,16,6,Bangalore,20.75
Hatchback,1,2013,Petrol,Third Party insurance,38197,Manual,2013,19,5,Bangalore,3.94
Hatchback,2,2017,Petrol,Comprehensive,23000,Automatic,2017,19,5,Bangalore,7.25
Hatchback,1,2013,Petrol,Third Party insurance,50000,Manual,2013,20,5,Bangalore,2.4
SUV,1,2022,Petrol,Third Party insurance,10000,Automatic,2022,19,5,Bangalore,8.35
Hatchback,1,2019,Petrol,Third Party insurance,19000,Manual,2019,18,5,Bangalore,6.95
SUV,1,2020,Petrol,Comprehensive,14000,Automatic,2020,16,7,Bangalore,17.25
Hatchback,1,2014,Petrol,Comprehensive,29268,Manual,2014,21,5,Bangalore,3.3
Sedan,1,2019,Petrol,Third Party insurance,20000,Automatic,2019,18,7,Bangalore,9.9
Sedan,1,2018,Petrol,Third Party insurance,30000,Manual,2018,17,6,Bangalore,7.5
Hatchback,1,2018,Petrol,Third Party insurance,64374,Automatic,2018,19,5,Bangalore,7.55
SUV,1,2021,Diesel,Comprehensive,30000,Manual,2021,17,6,Bangalore,17.5
SUV,1,2022,Petrol,Comprehensive,7100,Automatic,2022,14,6,Bangalore,20.83
Hatchback,1,2010,Petrol,Third Party insurance,43679,Manual,2010,19,5,Bangalore,2.71
SUV,1,2018,Petrol,Third Party insurance,40000,Automatic,2018,14,6,Bangalore,12.8
Hatchback,1,2012,Diesel,Comprehensive,40562,Manual,2012,22,6,Bangalore,4.36
SUV,2,2021,Petrol,Third Party insurance,26500,Automatic,2021,19,7,Bangalore,16.75
SUV,1,2019,Petrol,Third Party insurance,20000,Automatic,2019,18,7,Bangalore,12.5
SUV,1,2016,Diesel,Third Party insurance,58600,Automatic,2016,16,6,Bangalore,13.5
SUV,1,2019,Petrol,Comprehensive,20000,Automatic,2019,18,7,Bangalore,12.5
SUV,1,2020,Petrol,Second Party insurance,42050,Automatic,2020,18,7,Bangalore,22.25
Hatchback,1,2015,Petrol,Third Party insurance,65017,Automatic,2015,23,5,Bangalore,4.75
Sedan,2,2008,Diesel,Third Party insurance,80000,Automatic,2008,13,6,Bangalore,6.0
SUV,1,2021,Petrol,Third Party insurance,30000,Automatic,2021,14,7,Bangalore,24.5
SUV,1,2020,Petrol,Third Party insurance,20000,Automatic,2020,16,7,Bangalore,16.25
Sedan,1,2014,Diesel,Third Party insurance,36349,Automatic,2014,17,6,Bangalore,16.5
Hatchback,3,2009,Petrol,Third Party insurance,80000,Manual,2009,20,5,Bangalore,2.49
SUV,2,2014,Petrol,Third Party insurance,83394,Manual,2014,13,5,Bangalore,6.3
SUV,2,2016,Diesel,Third Party insurance,30000,Automatic,2016,14,7,Bangalore,25.99
Hatchback,3,2009,Petrol,Third Party insurance,80000,Manual,2009,20,5,Bangalore,2.49
Hatchback,1,2017,Petrol,Comprehensive,52204,Manual,2017,24,5,Bangalore,3.85
Hatchback,3,2012,Petrol,Third Party insurance,110000,Manual,2012,17,5,Bangalore,3.0
SUV,1,2017,Diesel,Comprehensive,89000,Automatic,2017,10,6,Bangalore,29.75
Hatchback,2,2014,Petrol,Comprehensive,29813,Manual,2014,22,5,Bangalore,2.76
Hatchback,1,2018,Petrol,Comprehensive,30000,Manual,2018,18,5,Bangalore,5.0
Hatchback,1,2020,Petrol,Comprehensive,13345,Automatic,2020,20,5,Bangalore,7.3
SUV,1,2022,Diesel,Comprehensive,17100,Automatic,2022,18,6,Bangalore,22.45
Hatchback,1,2014,Petrol,Comprehensive,75000,Manual,2014,18,5,Bangalore,3.99
Hatchback,2,2011,Petrol,Comprehensive,75523,Manual,2011,20,5,Bangalore,3.12
SUV,1,2015,Diesel,Third Party insurance,47000,Manual,2015,16,6,Bangalore,12.75
SUV,1,2022,Diesel,Third Party insurance,36500,Manual,2022,16,6,Bangalore,19.9
MUV,1,2020,Petrol,Third Party insurance,28253,Manual,2020,20,5,Bangalore,7.19
SUV,1,2016,Diesel,Comprehensive,50000,Manual,2016,19,6,Bangalore,12.6
Hatchback,2,2010,Petrol,Third Party insurance,90000,Manual,2010,20,5,Bangalore,3.0
SUV,2,2016,Diesel,Comprehensive,70000,Automatic,2016,15,8,Bangalore,39.81
Hatchback,1,2016,Petrol,Comprehensive,52571,Manual,2016,18,5,Bangalore,6.27
Sedan,2,2010,Diesel,Third Party insurance,70000,Automatic,2010,16,6,Bangalore,13.0
Sedan,1,2015,Petrol,Comprehensive,61993,Manual,2015,17,5,Bangalore,6.72
SUV,1,2017,Diesel,Third Party insurance,57000,Automatic,2017,16,6,Bangalore,18.25
SUV,2,2021,Diesel,Comprehensive,80000,Manual,2021,14,6,Bangalore,35.0
Hatchback,1,2013,Petrol,Comprehensive,36359,Manual,2013,18,5,Bangalore,4.4
SUV,2,2019,Diesel,Comprehensive,70000,Manual,2019,17,6,Bangalore,14.6
SUV,1,2022,Petrol,Comprehensive,7500,Automatic,2022,19,8,Bangalore,20.41
Sedan,1,2017,Petrol,Comprehensive,30301,Automatic,2017,17,6,Bangalore,10.33
Hatchback,1,2010,Petrol,Third Party insurance,66000,Manual,2010,20,5,Bangalore,2.75
Hatchback,1,2017,Petrol,Third Party insurance,56010,Manual,2017,18,5,Bangalore,6.76
SUV,1,2017,Diesel,Third Party insurance,47000,Automatic,2017,17,9,Bangalore,42.9
SUV,2,2014,Diesel,Comprehensive,60000,Manual,2014,19,6,Bangalore,6.5
Hatchback,1,2014,Diesel,Comprehensive,83829,Manual,2014,25,5,Bangalore,4.44
Hatchback,1,2020,Petrol,Third Party insurance,10000,Automatic,2020,22,5,Bangalore,5.1
SUV,2,2016,Diesel,Third Party insurance,35000,Automatic,2016,19,6,Bangalore,9.25
Sedan,2,2019,Petrol,Comprehensive,51116,Automatic,2019,18,5,Bangalore,10.24
Sedan,3,2016,Diesel,Comprehensive,80000,Manual,2016,21,5,Bangalore,5.0
Hatchback,2,2017,Petrol,Third Party insurance,40000,Automatic,2017,17,7,Bangalore,9.95
SUV,2,2012,Petrol,Comprehensive,85565,Automatic,2012,11,5,Bangalore,9.35
SUV,1,2018,Petrol,Comprehensive,36916,Manual,2018,17,5,Bangalore,8.34
Hatchback,1,2015,Diesel,Third Party insurance,90000,Manual,2015,20,5,Bangalore,5.6
Hatchback,1,2012,Petrol,Comprehensive,112795,Manual,2012,22,5,Bangalore,4.54
Sedan,1,2021,Petrol,Third Party insurance,11000,Automatic,2021,19,7,Bangalore,36.9
MUV,2,2014,Petrol,Comprehensive,120000,Manual,2014,11,5,Bangalore,11.0
